iter	Passed	Remaining
0	7	7858
1	15	7528
2	23	7822
3	31	7813
4	38	7661
5	45	7576
6	52	7389
7	59	7322
8	66	7323
9	72	7185
10	80	7261
11	87	7197
12	95	7248
13	103	7285
14	110	7250
15	117	7255
16	127	7368
17	136	7473
18	145	7509
19	152	7477
20	159	7455
21	166	7421
22	175	7453
23	182	7405
24	189	7409
25	197	7388
26	205	7411
27	214	7429
28	222	7444
29	229	7429
30	236	7398
31	245	7424
32	254	7467
33	262	7459
34	271	7476
35	278	7466
36	285	7439
37	295	7491
38	302	7464
39	312	7498
40	319	7472
41	326	7455
42	335	7476
43	343	7470
44	352	7482
45	359	7458
46	368	7471
47	376	7466
48	384	7461
49	393	7470
50	400	7461
51	409	7465
52	416	7448
53	424	7435
54	433	7449
55	440	7432
56	449	7434
57	463	7526
58	472	7538
59	479	7508
60	488	7512
61	495	7500
62	503	7491
63	511	7483
64	523	7531
65	531	7519
66	539	7506
67	547	7507
68	556	7504
69	565	7508
70	573	7506
71	580	7481
72	590	7497
73	597	7479
74	607	7487
75	616	7492
76	624	7484
77	633	7486
78	642	7490
79	651	7490
80	660	7492
81	668	7479
82	677	7485
83	684	7459
84	692	7454
85	700	7449
86	708	7437
87	717	7439
88	727	7442
89	734	7427
90	744	7432
91	753	7441
92	761	7425
93	771	7435
94	780	7431
95	791	7451
96	799	7443
97	808	7440
98	816	7431
99	828	7452
100	838	7464
101	846	7456
102	861	7498
103	869	7495
104	878	7487
105	887	7487
106	896	7483
107	906	7485
108	919	7512
109	929	7519
110	948	7594
111	965	7658
112	977	7674
113	991	7706
114	1004	7733
115	1014	7728
116	1022	7719
117	1032	7715
118	1040	7704
119	1049	7699
120	1060	7705
121	1069	7693
122	1078	7690
123	1086	7673
124	1095	7669
125	1106	7674
126	1114	7657
127	1122	7646
128	1130	7635
129	1141	7640
130	1149	7625
131	1158	7620
132	1168	7614
133	1176	7605
134	1185	7597
135	1196	7602
136	1204	7590
137	1212	7573
138	1221	7569
139	1233	7579
140	1242	7567
141	1249	7549
142	1257	7533
143	1268	7542
144	1277	7533
145	1286	7527
146	1298	7533
147	1305	7517
148	1313	7502
149	1321	7488
150	1329	7472
151	1337	7463
152	1349	7468
153	1356	7453
154	1365	7444
155	1374	7438
156	1385	7437
157	1392	7421
158	1401	7411
159	1410	7404
160	1420	7403
161	1428	7387
162	1435	7372
163	1442	7355
164	1451	7345
165	1459	7330
166	1470	7337
167	1479	7329
168	1488	7318
169	1499	7318
170	1508	7310
171	1515	7294
172	1528	7305
173	1535	7288
174	1543	7277
175	1555	7282
176	1562	7266
177	1569	7248
178	1578	7237
179	1593	7261
180	1605	7265
181	1614	7256
182	1623	7249
183	1634	7248
184	1644	7245
185	1652	7230
186	1660	7217
187	1669	7211
188	1679	7207
189	1687	7194
190	1695	7180
191	1706	7180
192	1714	7167
193	1723	7162
194	1733	7155
195	1741	7141
196	1753	7148
197	1761	7134
198	1774	7143
199	1785	7142
200	1794	7132
201	1806	7137
202	1817	7136
203	1824	7120
204	1835	7117
205	1844	7108
206	1852	7098
207	1863	7093
208	1871	7084
209	1881	7077
210	1889	7065
211	1898	7057
212	1907	7048
213	1919	7051
214	1928	7040
215	1936	7028
216	1943	7013
217	1949	6994
218	1957	6980
219	1965	6967
220	1973	6957
221	1983	6952
222	1991	6937
223	1997	6921
224	2004	6905
225	2013	6896
226	2025	6897
227	2032	6883
228	2040	6869
229	2053	6874
230	2061	6861
231	2072	6860
232	2081	6852
233	2090	6842
234	2099	6833
235	2109	6827
236	2117	6817
237	2128	6816
238	2136	6802
239	2145	6794
240	2155	6789
241	2163	6775
